Industry,Role,Minimum,Median,Maximum
Retail,Brand Manager,70,90,100
Retail,Senior Brand Manager,80,103,132
Retail,Brand Director,120,137,144
Retail,Marketing and Brand Manager,85,93,96
Retail,Marketing and Brand Director,100,122,135
Retail,CRM Manager,90,105,120
Retail,Head of CRM,120,160,180
Retail,Graphic Designer,36,39,42
Retail,Digital Marketing Executive,30,46,65
Retail,Assistant Digital Marketing Manager,60,62,65
Retail,Digital Marketing Manager,80,87,95
Retail,Director Digital Marketing,120,144,168
Retail,Assistant Vice President Digital Marketing,168,193,216
Retail,Digital and Social Media Manager,48,60,66
Retail,E-commerce Manager,72,84,96
Retail,Assistant Vice President E-commerce,168,193,216
Retail,Head of E-commerce,150,200,230
Retail,Media Manager,84,96,108
Retail,Marketing and Communications Manager,78,100,132
Retail,Head of Marketing and Communications,114,192,250
Retail,Marketing and Communications Director,170,210,250
Retail,Marketing Executive,55,60,65
Retail,Senior Marketing Executive,58,70,82
Retail,Assistant Marketing Manager,60,78,85
Retail,Marketing Manager,72,90,108
Retail,Senior Marketing Manager,90,105,120
Retail,Head of Marketing,84,109,130
Retail,Marketing Director,120,162,264
Retail,Channel Marketing Manager,120,127,132
Retail,Product Marketing Manager,86,103,120
Retail,Marketing Insights and Analytics Manager,78,90,97
Retail,Head of Marketing Insights and Analytics,130,176,210
Retail,Marketing Insightsand Analytics Lead,180,195,210
Retail,Partnerships Manager,60,90,120
Retail,Logistics Manager,54,66,78
Retail,Operations Executive,48,58,60
Retail,Operations Analyst,90,100,110
Retail,Senior Operations Manager,96,108,120
Retail,Operations Director,100,120,144
Retail,Procurement Executive,42,47,48
Retail,Procurement Specialist,42,49,54
Retail,Assistant Procurement Manager,54,61,66
Retail,Procurement Manager,56,71,84
Retail,Head of Procurement,280,320,360
Retail,Sourcing Manager,60,72,84
Retail,Supply / Demand Planner,45,50,54
Retail,Supply / Demand Planning Manager,72,79,84
Retail,Supply Chain Manager,48,68,84
Retail,Supply Chain Analyst,78,85,90
Retail,Head of Supply Chain,114,129,141
Retail,Supplier Relationship Manager,80,90,100
Retail,Inventory Controller,60,70,72
Retail,Assistant Merchandiser,40,45,50
Retail,Merchandiser,45,50,55
Retail,Senior Merchandiser,48,58,85
Retail,Head of Merchandising,144,151,156
Retail,Visual Merchandiser,30,48,99
Retail,Store Supervisor,30,48,60
Retail,Store Manager,48,66,96
Retail,Assistant Retail Manager,50,60,85
Retail,Retail Operations Manager,60,70,72
Retail,Retail Manager,96,121,144
Retail,Operations Director,120,150,240
Retail,Country Retail Planner,72,82,84
Retail,Account Manager,52,127,150
Retail,Senior Key Account Executive,72,80,90
Retail,Key Account Manager,78,88,96
Retail,Senior Key Account Manager,72,120,165
Retail,Business Development Executive,36,53,61
Retail,Business Development Manager,60,105,144
Retail,Senior Business Development Manager,72,100,165
Retail,Business Development Director,120,137,270
Retail,Business Manager,80,132,160
Retail,Franchise Manager,90,95,96
Retail,Franchise Director,100,150,200
Retail,Category Manager,75,103,126
Retail,Senior Category Manager,120,127,132
Retail,Assistant Product Manager,72,85,95
Retail,Product Manager,78,106,120
Retail,Senior Product Manager,96,120,150
Retail,Sales Advisor,24,36,42
Retail,Senior Sales Advisor,30,40,42
Retail,Sales Associate,30,42,60
Retail,Assistant Sales Manager,45,63,71
Retail,Sales Manager,72,130,200
Retail,Senior Sales Manager,85,95,120
Retail,Head of Sales,90,150,214
Retail,Sales Director,96,141,248
Retail,General Manager Sales,90,130,170
Retail,Sales Operations Manager,100,105,110
Retail,Sales and Marketing Manager,108,128,144
Retail,Senior Sales and Marketing Manager,120,130,140
Retail,Sales and Operations Executive,65,70,75
Retail,Commercial Manager,120,135,144
Retail,Head of Commercial,126,130,200
Retail,Area Sales Manager,54,97,120
Retail,Wholesale Manager,66,76,78
Retail,Export Sales Manager,84,104,120
Retail,Channel Sales Manager,84,100,130
Retail,Office Administrator,54,66,72
Retail,IT Lead,120,135,150
Retail,IT Director,150,195,240
Retail,IT Business Partner,100,125,150
Retail,Project Manager,60,84,108
Retail,Solution Architect,120,130,150
Retail,Infrastructure Architect,120,150,180
Retail,Business Intelligence (BI) Analyst,55,66,78
Retail,Business Intelligence (BI) Developer,70,80,90
Retail,Business Intelligence (BI) Lead,100,110,120
Retail,IT Helpdesk / Support / Executive,36,48,60
Retail,IT Analyst / Application Support,36,54,72
Retail,System Engineer,48,60,72
Retail,Network Engineer,48,60,72
Retail,Senior IT Support / Executive,54,63,72
Retail,IT Manager,60,90,108
Services,Chief Technology Officer,120,160,200
Services,Chief Operating Officer,200,225,250
Services,Chief Financial Officer,250,325,380
Services,Chief Executive Officer,300,340,400
Services,Guest Service Officer,36,46,54
Services,Sales Support Executive,42,54,68
Services,Sales Support and Customer Service Executive,42,55,68
Services,Customer Service Specialist,52,62,70
Services,Assistant Customer Service Manager,60,78,90
Services,Senior Customer Support Manager,100,132,186
Services,Finance / Business Analyst,48,66,96
Services,Senior Finance / Business Analyst,66,85,100
Services,Financial Planning & Analysis (FP&A) Manager,95,115,130
Services,Financial Planning & Analysis (FP&A) Director,150,200,230
Services,Business Controller,104,156,210
Services,Pricing Manager,90,100,130
Services,Internal Auditor,54,60,75
Services,Senior Internal Auditor,72,85,100
Services,Internal Audit Manager,91,110,130
Services,Internal Audit Director,168,195,234
Services,Risk Governance and Compliance Manager,91,110,156
Services,Enterprise Risk Management Manager,91,110,169
Services,Head of Risk Governance and Compliance,182,195,260
Services,Internal Control Manager,84,110,120
Services,Accounts Administrator,30,33,36
Services,Accounts Executive,36,46,48
Services,"Accountant, Accounts Payable / Receivable",42,56,72
Services,"Manager, Accounts Payable / Receivable",84,91,120
Services,Credit Control Executive,36,46,60
Services,Credit Control Manager,80,110,135
Services,Payroll Executive,36,48,60
Services,Payroll Manager,84,100,140
Services,Revenue Accountant,60,105,108
Services,Revenue Manager,91,102,130
Services,Accountant,48,58,74
Services,Senior Accountant,66,74,84
Services,Finance Manager,85,100,120
Services,Senior Finance Manager,110,125,144
Services,Finance Controller,120,156,180
Services,Finance Director,170,200,250
Services,"Head of Finance Operations /
Head of Shared Services",169,240,260
Services,Chief Financial Officer,250,325,400
Services,Tax Analyst,48,70,85
Services,Senior Tax Analyst / Assistant Tax Manager,70,85,100
Services,Tax Manager,80,120,180
Services,Indirect Tax Manager,80,120,156
Services,Transfer Pricing Manager,90,120,156
Services,Head of Tax / Tax Director,180,210,250
Services,Treasury Analyst,48,60,72
Services,Senior Treasury Analyst,60,76,91
Services,Treasury Manager,91,120,156
Services,Head of Treasury / Treasury Director,182,195,260
Services,Systems Finance Manager,90,120,156
Services,Change Management Leader,90,156,195
Services,Finance Transformation Manager,130,180,230
Services,Mergers & Acquisitions (M&A) Analyst,72,80,110
Services,Mergers & Acquisitions (M&A) Manager,104,130,156
Services,Mergers & Acquisitions (M&A) Director,182,220,260
Services,Senior HRIS Executive,54,64,66
Services,HRIS Analyst,60,70,72
Services,Senior HRIS Analyst,72,81,90
Services,C&B Executive,72,78,84
Services,C&B Manager,84,120,150
Services,Senior C&B Manager,150,165,180
Services,Head of C&B,200,250,350
Services,Junior HRBP,48,58,68
Services,Senior HRBP,70,80,90
Services,HRBP Manager,94,120,144
Services,Senior HR Coordinator,30,36,42
Services,HR Administrator,30,36,42
Services,HR Executive,36,45,54
Services,Senior HR Executive,54,60,70
Services,HR Specialist,55,70,85
Services,HR Manager,72,75,80
Services,Senior HR Manager,90,120,150
Services,HR Director,156,250,325
Services,Senior Learning and Development Executive,48,54,60
Services,Learning and Development Manager,72,78,85
Services,Talent Development Specialist,64,74,84
Services,Talent Development Trainer,72,84,96
Services,Talent Development Manager,120,144,168
Services,Recruitment Coordinator,36,45,54
Services,Talent Acquisition Specialist,54,65,78
Services,Talent Acquisition Manager,80,96,120
Services,Head of Talent Acquisition,120,150,180
Services,Talent Program Manager,60,72,80
Services,Compliance Manager,103,130,150
Services,Senior Compliance Manager,150,175,200
Services,Contract Manager,60,80,100
Services,Contract and Supplier Management Manager,84,104,120
Services,Paralegal,40,69,84
Services,Legal Executive,72,77,78
Services,Legal Counsel,90,145,200
Services,Senior Legal Counsel,150,195,240
Services,Associate,60,95,130
Services,Senior Associate,100,175,250
Services,Partner,190,345,500
Services,Legal Secretary,42,58,78
Services,Legal Assistant,52,55,58
Services,Senior Legal Secretary,60,63,66
Services,Assistant Corporate Secretary Manager,84,94,104
Services,Corporate Secretary Manager,120,145,170
Services,CRM Analyst,36,52,65
Services,CRM Specialist,54,55,57
Services,CRM Campaign Data Analyst,60,70,72
Services,Senior CRM Analyst,65,68,70
Services,Senior CRM Data Analyst,72,78,84
Services,CRM Insights Analyst,75,82,90
Services,CRM Manager,84,104,120
Services,Graphic Designer,60,75,84
Services,Senior Digital Executive,42,52,54
Services,Digital Manager,72,82,90
Services,Digital Marketing Executive,33,35,38
Services,Senior Digital Marketing Executive,37,53,60
Services,Digital Marketing Manager,60,96,132
Services,Senior Digital Marketing Manager,84,126,156
Services,Director Digital Marketing,108,144,180
Services,Seach Engine Marketing (SEM) Specialist,42,45,48
Services,"Senior Search Engine Optimisation (SEO)
Executive",48,58,60
Services,Digital Marketing Website Project Assistant,48,58,60
Services,Digital Analyst,48,65,78
Services,Media Planning Lead,80,90,100
Services,Digital Content Director,100,132,150
Services,"User Experience / User Interface (UX / UI)
Manager",96,108,120
Services,E-commerce Director,196,216,265
Services,Growth Marketing Manager,84,96,125
Services,Events Coordinator,55,60,65
Services,Events Manager,65,77,85
Services,Events Director,120,137,160
Services,Senior Events Director,150,165,200
Services,Conference Manager,65,75,90
Services,Senior Conference and Events Manager,75,85,95
Services,Conference Producer,42,59,75
Services,Senior Conference Producer,70,82,90
Services,Content Manager,36,63,84
Services,Copywriting Manager,54,69,78
Services,Public Relations (PR) Manager,72,88,96
Services,Corporate Communications Manager,96,114,144
Services,Marketing and Communications Manager,96,120,144
Services,Marketing Executive,32,42,48
Services,Marketing Specialist,48,58,60
Services,Assistant Marketing Manager,60,70,72
Services,Marketing Manager,55,80,90
Services,Senior Marketing Manager,84,104,120
Services,Marketing Director,132,144,180
Services,Marketing Operations Analyst,54,57,60
Services,Marketing and Partnerships Manager,108,128,144
Services,Senior Product Marketing Executive,48,51,54
Services,Product Marketing Manager,60,70,72
Services,Market Research Associate,48,60,65
Services,User Experience (UX) Researcher,48,63,72
Services,Research Manager,54,64,75
Services,Senior Research Coordinator,55,67,75
Services,Research Associate,72,87,96
Services,Content and Market Research Analyst,42,64,78
Services,Marketing Insights and Analytics Manager,84,104,120
Services,Head of Marketing Insights and Analytics,156,180,225
Services,Senior Strategy and Analytics Manager,144,176,200
Services,Vice President Strategy and Analytics,225,250,330
Services,Partnerships Manager,72,82,84
Services,Head of Partnerships,84,99,108
Services,Procurement Executive,50,57,65
Services,Procurement Manager,72,93,130
Services,Indirect Procurement Manager,84,101,120
Services,Head of Procurement,120,152,180
Services,Procurement Director,150,195,220
Services,"Account and Business Development
Executive",60,70,72
Services,Account Executive,65,70,75
Services,Account Manager,80,100,132
Services,Key Account Manager,60,71,132
Services,Senior Key Account Manager,72,89,144
Services,Business Acceleration Manager,60,70,72
Services,"Business Development and Marketing
Executive",55,72,85
Services,Business Development Associate,48,65,78
Services,Business Development Executive,36,50,70
Services,Business Development Manager,55,75,120
Services,Senior Business Development Manager,90,120,156
Services,Business Development Director,96,126,216
Services,Head of Business Development,120,160,220
Services,Product Manager,48,66,96
Services,Head of Product,96,144,200
Services,Sales Representative,24,39,48
Services,Sales Consultant,38,52,55
Services,Sales Coordinator,50,60,75
Services,Sales Engineer,55,60,65
Services,Sales Executive,48,60,85
Services,Sales Operations Manager,72,82,84
Services,Sales Manager,52,66,144
Services,Senior Sales Manager,96,104,150
Services,Area Sales Manager,110,122,140
Services,Country Sales Manager,96,120,180
Services,Sales Director,97,125,180
Services,General Manager Sales,144,166,196
Services,Head of Sales,96,156,225
Services,Telesales Officer,42,45,48
Services,Customer Experience Manager,48,52,66
Services,Customer Success Manager,65,80,108
Services,Junior Administration Assistant,30,36,57
Services,Administration Assistant,45,54,60
Services,Administration and Marketing Assistant,45,54,66
Services,Administrator,45,60,72
Services,Executive Assistant,58,90,144
Services,Office Administrator,42,54,66
Services,Assistant Office Manager,60,96,100
Services,Office Manager,66,84,160
Services,Senior Office Manager,78,120,160
Services,Personal Assistant,60,90,114
Services,Program Coordinator,57,66,74
Services,Project Coordinator,60,66,74
Services,Receptionist,45,57,60
Services,Sales Support,54,57,60
Services,Junior Secretary,57,66,78
Services,Secretary,57,78,114
Services,Service Administration Executive,57,62,72
Services,Business Intelligence (BI) Analyst,84,97,120
Services,Head of Business Intelligence (BI) Analytics,120,150,180
Services,Data Analyst,55,107,120
Services,Data Scientist,90,135,180
Services,Head of Enterprise Architecture,180,200,216
Services,Vice President IT Strategy and Architecture,150,195,240
Services,IT Manager,70,110,150
Services,IT Business Partner,180,190,200
Services,Head of IT,180,240,300
Services,IT Project Manager,78,114,150
Services,Infrastructure Engineer,60,78,96
Services,Infrastructure Manager,72,111,150
Services,Cloud Engineer,50,62,75
Services,Network Analyst / Engineer,60,90,120
Services,IT Security Specialist,80,90,100
Services,IT Security Manager,85,102,120
Services,Head of IT Security,120,180,240
Services,IT Officer,36,50,65
Services,IT Specialist,65,75,84
Services,System Administrator,50,62,80
Services,Senior System Administrator,60,72,80
Services,System Engineer,60,90,120
Services,Service Desk Analyst,36,48,60
Services,Vice President Service Delivery,120,150,180
Services,Technical Implementation Specialist,84,104,120
Services,Application Support Specialist,40,56,72
Services,IT Support Analyst,50,61,72
Services,Desktop Support Analyst,54,63,72
Services,Senior Software Engineer,60,75,84
Services,Software Developer Lead,90,120,150
Services,Application Manager,90,116,144
Services,Solution Architect,90,120,150
Services,Pre-Sales Consultant,100,145,200
"Technology, Media and Telecommunications",Chief Information Security Officer,180,240,300
"Technology, Media and Telecommunications",Chief Technology Officer,260,280,300
"Technology, Media and Telecommunications",Chief Product Officer,200,275,350
"Technology, Media and Telecommunications",Chief Information Officer,240,300,360
"Technology, Media and Telecommunications",Chief Financial Officer,250,325,400
"Technology, Media and Telecommunications",Chief Executive Officer,200,500,800
"Technology, Media and Telecommunications",Finance / Business Analyst,48,66,96
"Technology, Media and Telecommunications",Senior Finance / Business Analyst,66,85,100
"Technology, Media and Telecommunications",Financial Planning & Analysis (FP&A) Manager,95,115,130
"Technology, Media and Telecommunications",Financial Planning & Analysis (FP&A) Director,150,200,230
"Technology, Media and Telecommunications",Business Controller,104,156,210
"Technology, Media and Telecommunications",Pricing Manager,90,100,130
"Technology, Media and Telecommunications",Internal Auditor,54,60,75
"Technology, Media and Telecommunications",Senior Internal Auditor,72,85,100
"Technology, Media and Telecommunications",Internal Audit Manager,91,110,130
"Technology, Media and Telecommunications",Internal Audit Director,168,195,234
"Technology, Media and Telecommunications",Risk Governance and Compliance Manager,91,110,156
"Technology, Media and Telecommunications",Enterprise Risk Management Manager,91,110,169
"Technology, Media and Telecommunications",Head of Risk Governance and Compliance,182,195,260
"Technology, Media and Telecommunications",Internal Control Manager,84,110,120
"Technology, Media and Telecommunications",Accounts Administrator,30,33,36
"Technology, Media and Telecommunications",Accounts Executive,36,46,48
"Technology, Media and Telecommunications","Accountant, Accounts Payable / Receivable",42,56,72
"Technology, Media and Telecommunications","Manager, Accounts Payable / Receivable",84,91,120
"Technology, Media and Telecommunications",Credit Control Executive,36,46,60
"Technology, Media and Telecommunications",Credit Control Manager,80,110,135
"Technology, Media and Telecommunications",Payroll Executive,36,48,60
"Technology, Media and Telecommunications",Payroll Manager,84,100,140
"Technology, Media and Telecommunications",Cost Accountant,48,64,84
"Technology, Media and Telecommunications",Costing Manager,91,117,130
"Technology, Media and Telecommunications",Cost Controller,78,104,156
"Technology, Media and Telecommunications",Revenue Accountant,60,105,108
"Technology, Media and Telecommunications",Revenue Manager,91,102,130
"Technology, Media and Telecommunications",Accountant,48,58,74
"Technology, Media and Telecommunications",Senior Accountant,66,74,84
"Technology, Media and Telecommunications",Finance Manager,85,100,120
"Technology, Media and Telecommunications",Senior Finance Manager,110,125,144
"Technology, Media and Telecommunications",Finance Controller,120,156,180
"Technology, Media and Telecommunications",Finance Director,170,200,250
"Technology, Media and Telecommunications","Head of Finance Operations /
Head of Shared Services",169,240,260
"Technology, Media and Telecommunications",Chief Financial Officer,250,325,400
"Technology, Media and Telecommunications",Tax Analyst,48,70,85
"Technology, Media and Telecommunications",Senior Tax Analyst / Assistant Tax Manager,70,85,100
"Technology, Media and Telecommunications",Tax Manager,90,120,180
"Technology, Media and Telecommunications",Indirect Tax Manager,80,120,156
"Technology, Media and Telecommunications",Transfer Pricing Manager,90,120,156
"Technology, Media and Telecommunications",Head of Tax / Tax Director,180,210,250
"Technology, Media and Telecommunications",Treasury Analyst,48,60,72
"Technology, Media and Telecommunications",Senior Treasury Analyst,60,76,91
"Technology, Media and Telecommunications",Treasury Manager,91,120,156
"Technology, Media and Telecommunications",Head of Treasury / Treasury Director,182,195,260
"Technology, Media and Telecommunications",Systems Finance Manager,90,120,156
"Technology, Media and Telecommunications",Change Management Leader,90,156,195
"Technology, Media and Telecommunications",Finance Transformation Manager,130,180,230
"Technology, Media and Telecommunications",Mergers & Acquisitions (M&A) Analyst,72,80,110
"Technology, Media and Telecommunications",Mergers & Acquisitions (M&A) Manager,104,130,156
"Technology, Media and Telecommunications",Mergers & Acquisitions (M&A) Director,182,220,260
"Technology, Media and Telecommunications",C&B Manager,100,125,150
"Technology, Media and Telecommunications",HRBP,60,77,99
"Technology, Media and Telecommunications",HRBP Manager,72,79,144
"Technology, Media and Telecommunications",Associate Director HRBP,120,132,144
"Technology, Media and Telecommunications",Director HRBP,180,210,240
"Technology, Media and Telecommunications",Senior HR Executive,42,52,54
"Technology, Media and Telecommunications",HR Manager,84,99,105
"Technology, Media and Telecommunications",Senior HR Manager,110,140,180
"Technology, Media and Telecommunications",Head of HR,130,132,135
"Technology, Media and Telecommunications",Talent Acquisition Lead,50,67,96
"Technology, Media and Telecommunications",Talent Acquisition Specialist,80,127,155
"Technology, Media and Telecommunications",Talent Acquisition Manager,150,160,170
"Technology, Media and Telecommunications",Head of Talent Acquisition,200,210,220
"Technology, Media and Telecommunications",Talent Development Specialist,120,140,150
"Technology, Media and Telecommunications",Talent Capabilities Director,120,150,160
"Technology, Media and Telecommunications",Contracts Specialist,72,84,96
"Technology, Media and Telecommunications",Contracts Manager,89,100,120
"Technology, Media and Telecommunications",Legal Executive,36,39,42
"Technology, Media and Telecommunications",Legal Counsel,85,108,130
"Technology, Media and Telecommunications",Senior Legal Counsel,160,180,200
"Technology, Media and Telecommunications",Associate General Counsel,200,230,260
"Technology, Media and Telecommunications",Data Privacy Counsel,180,215,250
"Technology, Media and Telecommunications",General Counsel,240,285,330
"Technology, Media and Telecommunications",Brand Strategist,60,77,120
"Technology, Media and Telecommunications",Brand Manager,96,138,180
"Technology, Media and Telecommunications",Brand Director,150,175,200
"Technology, Media and Telecommunications",CRM Director,160,180,200
"Technology, Media and Telecommunications",Digital Marketing Manager,72,127,144
"Technology, Media and Telecommunications",Associate Director Digital Marketing,108,108,113
"Technology, Media and Telecommunications",Digital Creative Designer,36,51,84
"Technology, Media and Telecommunications","Digital Experience and Operations
Specialist",72,82,84
"Technology, Media and Telecommunications",Social Media Manager,60,70,72
"Technology, Media and Telecommunications",Marketing and Communications Manager,90,105,115
"Technology, Media and Telecommunications",Head of Marketing and Communications,160,195,300
"Technology, Media and Telecommunications",Content Acquisition Manager,72,82,84
"Technology, Media and Telecommunications",Marketing Executive,36,50,65
"Technology, Media and Telecommunications",Marketing Specialist,48,63,72
"Technology, Media and Telecommunications",Assistant Marketing Manager,55,65,70
"Technology, Media and Telecommunications",Marketing Manager,75,90,100
"Technology, Media and Telecommunications",Head of Marketing,100,150,220
"Technology, Media and Telecommunications",Marketing Director,220,250,270
"Technology, Media and Telecommunications",Head of Channel Marketing,120,135,150
"Technology, Media and Telecommunications",Product Marketing Manager,90,105,200
"Technology, Media and Telecommunications",Partnerships Specialist,48,58,60
"Technology, Media and Telecommunications",Partnerships Manager,60,77,90
"Technology, Media and Telecommunications",Partnerships Director,120,150,180
"Technology, Media and Telecommunications",Strategic Partnership Director,150,177,204
"Technology, Media and Telecommunications",Innovation and Partnerships Manager,60,77,86
"Technology, Media and Telecommunications",Growth Marketing Manager,84,104,120
"Technology, Media and Telecommunications",Vice President Engagement Intelligence,108,128,144
"Technology, Media and Telecommunications",Director Strategy and Analytics,144,167,200
"Technology, Media and Telecommunications",Head of Marketing Insights and Analytics,140,200,300
"Technology, Media and Telecommunications",Operations Analyst,50,55,0
"Technology, Media and Telecommunications",Operations Manager,100,110,120
"Technology, Media and Telecommunications",Operations Director,240,270,300
"Technology, Media and Telecommunications",Account Executive,48,50,54
"Technology, Media and Telecommunications",Account Manager,57,60,75
"Technology, Media and Telecommunications",Senior Account Manager,60,81,144
"Technology, Media and Telecommunications",Business Development Associate,36,39,42
"Technology, Media and Telecommunications",Business Development Manager,60,120,180
"Technology, Media and Telecommunications",Business Development Director,160,186,220
"Technology, Media and Telecommunications",Product Manager,75,80,90
"Technology, Media and Telecommunications",Senior Product Manager,114,129,156
"Technology, Media and Telecommunications",Head of Product,130,151,195
"Technology, Media and Telecommunications",Sales Order Processing Administrator,37,40,43
"Technology, Media and Telecommunications",Sales Order Processing Executive,45,50,55
"Technology, Media and Telecommunications",Sales Support Specialist,55,65,70
"Technology, Media and Telecommunications",Sales Executive,34,38,42
"Technology, Media and Telecommunications",Sales Representative,38,50,65
"Technology, Media and Telecommunications",Sales Manager,72,93,120
"Technology, Media and Telecommunications",Senior Sales Manager,100,140,156
"Technology, Media and Telecommunications",Associate Sales Director,120,180,230
"Technology, Media and Telecommunications",Head of Sales,150,200,250
"Technology, Media and Telecommunications",Administrative Assistant,38,58,66
"Technology, Media and Telecommunications",Executive Assistant,57,90,156
"Technology, Media and Telecommunications",Office Manager,90,132,156
"Technology, Media and Telecommunications",Digital Transformation Manager,96,108,120
"Technology, Media and Telecommunications",Head of Digital Transformation,144,162,180
"Technology, Media and Telecommunications",Director Digital Transformation,180,192,204
"Technology, Media and Telecommunications",Product Engineer,60,72,84
"Technology, Media and Telecommunications",Product Manager,84,102,120
"Technology, Media and Telecommunications",Product Architect,96,114,132
"Technology, Media and Telecommunications",Product Director,144,162,180
"Technology, Media and Telecommunications",Solution Consultant,96,108,120
"Technology, Media and Telecommunications",Solution Architect,108,144,180
"Technology, Media and Telecommunications",Pre-Sales Engineer,84,90,96
"Technology, Media and Telecommunications",Pre-Sales Manager,132,156,180
"Technology, Media and Telecommunications",Project Manager,78,114,150
"Technology, Media and Telecommunications",Senior Project Manager,120,150,180
"Technology, Media and Telecommunications",Business Analyst,54,66,78
"Technology, Media and Telecommunications",Senior Business Analyst,120,150,180
"Technology, Media and Telecommunications",Data Engineer,54,87,120
"Technology, Media and Telecommunications",Data Analyst,54,66,78
"Technology, Media and Telecommunications",Business Intelligence (BI) Analyst,66,93,120
"Technology, Media and Telecommunications",Lead Business Intelligence (BI) Analyst,108,129,150
"Technology, Media and Telecommunications",Data Analyst Manager,150,165,180
"Technology, Media and Telecommunications",Database Administrator,60,90,120
"Technology, Media and Telecommunications",Database Manager,100,125,150
"Technology, Media and Telecommunications",Data Architect,96,148,200
"Technology, Media and Telecommunications",Data Scientist,96,138,180
"Technology, Media and Telecommunications",Web Developer,36,54,72
"Technology, Media and Telecommunications",Software Engineer / Developer,54,69,84
"Technology, Media and Telecommunications",Senior Software Engineer / Developer,72,96,120
"Technology, Media and Telecommunications",Back End Engineer / Developer,60,72,84
"Technology, Media and Telecommunications",Senior Back End Engineer / Developer,72,96,120
"Technology, Media and Telecommunications",Front End Engineer / Developer,60,78,96
"Technology, Media and Telecommunications",Senior Front End Engineer / Developer,72,96,120
"Technology, Media and Telecommunications",Full Stack Developer,60,90,120
"Technology, Media and Telecommunications",Senior Full Stack Developer,120,144,169
"Technology, Media and Telecommunications","User Experience / User Interface (UX / UI)
Designer",48,66,84
"Technology, Media and Telecommunications","User Experience / User Interface (UX / UI)
Lead Designer",84,102,120
"Technology, Media and Telecommunications","Head of User Experience / User Interface
(UX / UI)",96,123,150
"Technology, Media and Telecommunications",IT Analyst / Application Analyst,36,48,60
"Technology, Media and Telecommunications",System Analyst,48,66,84
"Technology, Media and Telecommunications",Senior / Lead System Analyst,66,87,108
"Technology, Media and Telecommunications","Head of Applications / Software
Development",84,162,240
"Technology, Media and Telecommunications",DevOps Engineer,60,75,90
"Technology, Media and Telecommunications",Senior DevOps Engineer,90,105,120
"Technology, Media and Telecommunications",DevOps Manager,120,160,180
"Technology, Media and Telecommunications","Robotic Process Automation (RPA)
Developer",48,78,108
"Technology, Media and Telecommunications",Cloud Engineer,60,75,90
"Technology, Media and Telecommunications",Senior Cloud Engineer,90,105,120
"Technology, Media and Telecommunications",Cloud Architect,108,154,200
"Technology, Media and Telecommunications","Security Operations Center (SOC)
Analyst / Engineer",54,69,84
"Technology, Media and Telecommunications",IT Security Engineer,66,81,96
"Technology, Media and Telecommunications",IT Security Manager,90,105,120
"Technology, Media and Telecommunications",IT Security Architect,120,150,180
"Technology, Media and Telecommunications",IT Audit Executive,54,63,72
"Technology, Media and Telecommunications",IT Audit Manager,90,105,120
"Technology, Media and Telecommunications",Head of IT Audit,150,175,200
"Technology, Media and Telecommunications",IT Risk and Compliance Analyst,54,63,72
"Technology, Media and Telecommunications",Head of IT Risk and Compliance,144,162,180
"Technology, Media and Telecommunications",System Administrator,48,54,60
"Technology, Media and Telecommunications",System Engineer,60,72,84
"Technology, Media and Telecommunications",Senior System Engineer,72,81,90
"Technology, Media and Telecommunications",Network Operations Centre (NOC) Engineer,36,45,54
"Technology, Media and Telecommunications",Network Engineer,48,54,60
"Technology, Media and Telecommunications",Senior Network Engineer,60,78,96
"Technology, Media and Telecommunications",Network Security Engineer,60,90,120
"Technology, Media and Telecommunications",Network Consultant,72,96,120
"Technology, Media and Telecommunications",Storage Engineer,60,66,72
"Technology, Media and Telecommunications",Senior Storage Engineer,72,84,96
"Technology, Media and Telecommunications",Infrastructure / IT Manager,72,96,120
"Technology, Media and Telecommunications",Infrastructure Architect,120,150,180
"Technology, Media and Telecommunications",Head of Infrastructure,144,162,180
"Technology, Media and Telecommunications",Service Desk Engineer,36,48,60
"Technology, Media and Telecommunications",Senior Service Desk Engineer,60,72,84
"Technology, Media and Telecommunications",Service Delivery Manager,72,96,120
"Technology, Media and Telecommunications",Service Delivery Lead,120,144,169
"Technology, Media and Telecommunications",Head of Service Delivery,175,189,204
"Technology, Media and Telecommunications",Field Engineer,36,48,60
"Technology, Media and Telecommunications",IT Support Engineer / IT Executive,36,48,60
"Technology, Media and Telecommunications","Senior IT Support Engineer /
IT Executive",54,63,72
"Technology, Media and Telecommunications",Desktop Support Engineer,36,48,60
"Technology, Media and Telecommunications",Senior Desktop Support Engineer,54,57,60
"Technology, Media and Telecommunications",Desktop Support Team Lead,60,66,72
"Technology, Media and Telecommunications",Application Support Engineer,36,48,60
"Technology, Media and Telecommunications",Senior Application Support Engineer,36,48,60
"Technology, Media and Telecommunications",Application Support Manager,60,78,96
"Technology, Media and Telecommunications",Data Centre Operator / Technician,30,36,42
"Technology, Media and Telecommunications",Data Centre Engineer,42,51,60
"Technology, Media and Telecommunications",Senior Data Centre Engineer,54,69,84
"Technology, Media and Telecommunications",Data Centre Operation / Facilities Manager,60,78,96
"Technology, Media and Telecommunications",Head of Data Centre,108,126,144
"Technology, Media and Telecommunications",Cloud Data Centre Specialist,72,96,120
"Technology, Media and Telecommunications",Software Validation Engineer,54,66,78
"Technology, Media and Telecommunications",QA Engineer / Software Tester,42,51,60
