english	mandarin
Junior Sports Academies	少年体育学院
JUPITER ROAD	朱比德路
Jurong Camp	裕廊军营
JURONG CANAL DRIVE	裕廊渠通道
JURONG EAST AVENUE 1	裕廊东1道
JURONG EAST CENTRAL	裕廊东中路
JURONG EAST CENTRAL 1	裕廊东中1路
JURONG EAST FLYOVER	裕廊东立交桥
Jurong East MRT Station	裕廊东地铁站
JURONG EAST STREET 11	裕廊东11街
JURONG EAST STREET 12	裕廊东12街
JURONG EAST STREET 13	裕廊东13街
JURONG EAST STREET 21	裕廊东21街
JURONG EAST STREET 24	裕廊东24街
JURONG EAST STREET 31	裕廊东31街
JURONG EAST STREET 32	裕廊东32街
Jurong Fishing Port	裕廊渔港
Jurong Gateway	裕廊商业区
JURONG GATEWAY ROAD	裕廊商业大道
Jurong GRC	裕廊集选区
Jurong Green Community Club	裕青民众俱乐部
JURONG HILL	裕廊山
JURONG HILL FLYOVER	裕廊山立交桥
Jurong Innovation District (JID)	裕廊创新区
JURONG ISLAND HIGHWAY	裕廊岛大道
Jurong Lake District	裕廊湖区
Jurong Lake Gardens	裕廊湖花园/裕廊湖花园区
JURONG LAKE LINK	裕廊湖连路
JURONG PIER CIRCUS	裕廊渡头圈
JURONG PIER FLYOVER	裕廊渡头立交桥
JURONG PIER ROAD	裕廊渡头路
JURONG PIER WAY	裕廊渡头大道
Jurong Port	裕廊码头
JURONG PORT ROAD	裕廊海港路
Jurong Region Line (JRL)	裕廊区域线
Jurong Regional Library (JRL)	裕廊区域图书馆
JURONG ROAD	裕廊路
JURONG ROAD - TRACK 18	裕廊路18乡道
JURONG ROAD - TRACK 20	裕廊路20乡道
JURONG ROAD - TRACK 22	裕廊路22乡道
Jurong Rock Caverns (JRC)	裕廊岛地下储油库
Jurong Spring Community Club	裕泉民众俱乐部
JURONG TOWN HALL ROAD	裕廊镇大会堂路
JURONG WEST AVENUE 1	裕廊西1道
JURONG WEST AVENUE 2	裕廊西2道
JURONG WEST AVENUE 3	裕廊西3道
JURONG WEST AVENUE 4	裕廊西4道
JURONG WEST AVENUE 5	裕廊西5道
JURONG WEST CENTRAL 1	裕廊西中1路
JURONG WEST CENTRAL 2	裕廊西中2路
JURONG WEST CENTRAL 3	裕廊西中3路
Jurong West Public Library (JWPL)	裕廊西公共图书馆
JURONG WEST STREET 21	裕廊西21街
JURONG WEST STREET 22	裕廊西22街
JURONG WEST STREET 23	裕廊西23街
JURONG WEST STREET 24	裕廊西24街
JURONG WEST STREET 25	裕廊西25街
JURONG WEST STREET 26	裕廊西26街
JURONG WEST STREET 41	裕廊西41街
JURONG WEST STREET 42	裕廊西42街
JURONG WEST STREET 51	裕廊西51街
JURONG WEST STREET 52	裕廊西52街
JURONG WEST STREET 61	裕廊西61街
JURONG WEST STREET 62	裕廊西62街
JURONG WEST STREET 63	裕廊西63街
JURONG WEST STREET 64	裕廊西64街
JURONG WEST STREET 65	裕廊西65街
JURONG WEST STREET 71	裕廊西71街
JURONG WEST STREET 72	裕廊西72街
JURONG WEST STREET 73	裕廊西73街
JURONG WEST STREET 74	裕廊西74街
JURONG WEST STREET 75	裕廊西75街
JURONG WEST STREET 76	裕廊西76街
JURONG WEST STREET 81	裕廊西81街
JURONG WEST STREET 82	裕廊西82街
JURONG WEST STREET 91	裕廊西91街
JURONG WEST STREET 92	裕廊西92街
JURONG WEST STREET 93	裕廊西93街
Justices' Law Clerks	法律秘书
Juvenile Court	少年法庭
Juvenile Probation Case Committee	少年缓刑个案委员会
K Shanmugam	尚穆根
Kadaloor LRT Station	卡达鲁轻轨列车站
KADAYANALLUR STREET	卡达耶那鲁街
KAKI BUKIT AVENUE 1	加基武吉1道
KAKI BUKIT AVENUE 2	加基武吉2道
KAKI BUKIT AVENUE 3	加基武吉3道
KAKI BUKIT AVENUE 4	加基武吉4道
KAKI BUKIT AVENUE 5	加基武吉5道
KAKI BUKIT AVENUE 6	加基武吉6道
Kaki Bukit Community Centre	加基武吉民众联络所
KAKI BUKIT CRESCENT	加基武吉弯
KAKI BUKIT INDUSTRIAL TERRACE	加基武吉工业台
Kaki Bukit MRT Station	加基武吉地铁站
KAKI BUKIT PLACE	加基武吉坊
KAKI BUKIT ROAD 1	加基武吉1路
KAKI BUKIT ROAD 2	加基武吉2路
KAKI BUKIT ROAD 3	加基武吉3路
KAKI BUKIT ROAD 4	加基武吉4路
KAKI BUKIT ROAD 5	加基武吉5路
KAKI BUKIT ROAD 6	加基武吉6路
KAKI BUKIT VIEW	加基武吉景
KALIDASA AVENUE	卡里达沙道
KALLANG AIRPORT DRIVE	加冷机场通道
KALLANG AIRPORT WAY	加冷机场大道
KALLANG AVENUE	加冷道
KALLANG BAHRU	加冷峇鲁
KALLANG BAHRU FLYOVER	加冷峇鲁立交桥
Kallang Community Club	加冷民众俱乐部
KALLANG JUNCTION	加冷交叉路
Kallang MRT Station	加冷地铁站
KALLANG PAYA LEBAR EXPRESSWAY	加冷巴耶利峇快速公路
KALLANG PLACE	加冷坊
KALLANG PUDDING ROAD	加冷布丁路
KALLANG ROAD	加冷路
KALLANG SECTOR	加冷段
KALLANG TENGAH	加冷登加
Kallang Theatre	嘉龙剧院
KALLANG WALK	加冷径
KALLANG WAY	加冷大道
KALLANG WAY 1	加冷1大道
KALLANG WAY 2	加冷2大道
KALLANG WAY 2A	加冷2A大道
KALLANG WAY 3	加冷3大道
KALLANG WAY 4	加冷4大道
KALLANG WAY 5	加冷5大道
KALLANG WAY FLYOVER	加冷大道立交桥
Kallang-Paya Lebar Expressway (KPE)	加冷－巴耶利峇快速公路
KAMPONG AMPAT	甘榜安拔
KAMPONG ARANG ROAD	甘榜阿兰路
KAMPONG BAHRU FLYOVER	甘榜峇鲁立交桥
KAMPONG BAHRU ROAD	甘榜峇鲁路
KAMPONG BUGIS	甘榜武吉士 (俗称火城)
Kampong Chai Chee Community Centre	甘榜菜市民众联络所
KAMPONG EUNOS	甘榜友诺士
Kampong Glam Community Club	甘榜格南民众俱乐部
Kampong Glam Heritage Trail	甘榜格南文化古迹之旅
KAMPONG JAVA FLYOVER	甘榜爪哇立交桥
KAMPONG JAVA ROAD	甘榜爪哇路
Kampong Kapor Family Service Centre	甘榜加卜家庭服务中心
KAMPONG KAPOR ROAD	甘榜加卜路
KAMPONG KAYU ROAD	甘榜加由路
Kampong Kembangan Community Club	甘榜景万岸民众俱乐部
KAMPONG MANDAI KECHIL	甘榜万礼克基
KAMPONG SIREH	甘榜思礼
Kampong Ubi Community Centre	甘榜乌美民众联络所
Kampong Ubi Test Centre	甘榜乌美考车中心
KAMPONG WAK HASSAN	甘榜哇哈山
KANDAHAR STREET	干达哈街
KANDANG KERBAU BRIDGE	竹脚桥
KANDIS LANE	甘地士巷
KANDIS LINK	甘地士连路
KANDIS WALK	甘地士径
Kang Association (Singapore)	新加坡江氏总会
KANG CHING ROAD	岗景路
KANG CHOO BIN ROAD	江子民路
KANG CHOO BIN WALK	江子民径
Kangkar LRT Station	港脚轻轨列车站
Kar Yeng Five Districts General Association	嘉应五属公会
KARIKAL LANE	卡利加巷
KASAI ROAD	卡赛路
KATMANDU ROAD	加得满都路
Katong Community Centre	加东民众联络所
KAY POH ROAD	继宝路
KAY SIANG ROAD	继祥路
KC-135R Stratotanker	KC-135R型空中添油机
Keat Hong Camp	吉丰军营
KEAT HONG CLOSE	吉丰弄
Keat Hong Community Club	吉丰民众俱乐部
KEAT HONG LINK	吉丰连路
Keat Hong LRT Station	吉丰轻轨列车站
Kebun Baru Community Club	哥本峇鲁民众俱乐部
KEE CHOE AVENUE	继初道
KEE SENG STREET	基生街
KEE SUN AVENUE	纪辰道
Keeping Singapore Safe and Secure	保家安民
KELANTAN LANE	吉兰丹巷
KELANTAN ROAD	吉兰丹路
KELLOCK ROAD	客乐路
KELOPAK ROAD	克罗拔路
KELULUT HILL	克鲁路山
Kembangan MRT Station	景万岸地铁站
KEMPAS ROAD	肯巴士路
KENANGA AVENUE	肯南卡道
KENG CHEOW STREET	敬招街
KENG CHIN ROAD	庆振路
KENG KIAT STREET	庆吉街
KENG LEE ROAD	庆利路
Keng Yai Choo Tee Clan	琼崖朱氏社
KENSINGTON PARK DRIVE	肯新顿园通道
KENSINGTON PARK ROAD	肯新顿园路
KENT RIDGE CRESCENT	肯特岗弯
KENT RIDGE DRIVE	肯特岗通道
Kent Ridge MRT Station	肯特岗地铁站
KENT RIDGE ROAD	肯特岗路
KENT ROAD	肯特路
KENYA CRESCENT	肯雅弯
KEONG SAIK ROAD	恭锡路
KEPPEL BAY BRIDGE	岌巴湾桥
KEPPEL BAY DRIVE	吉宝湾通道
KEPPEL BAY VIEW	吉宝湾景
KEPPEL BAY VISTA	吉宝湾风景路
Keppel Centre for Art Education	吉宝美术教育中心
KEPPEL FLYOVER	岌巴立交桥
KEPPEL HILL	岌巴山
Keppel Nights Scheme	“吉宝之夜”计划
KEPPEL ROAD	岌巴路
Keppel Terminal	岌巴码头
KEPPEL TERMINAL AVENUE	岌巴终站道
KEPPEL TERMINAL ROAD K	岌巴终站K路
KEPPEL TERMINAL ROAD M	岌巴终站M路
KEPPEL TERMINAL ROAD N	岌巴终站N路
KEPPEL VIADUCT	岌巴高架桥
KERAMAT ROAD	克拉默路
KERBAU ROAD	加宝路
KERIS DRIVE	卡里斯通道
KERONG LANE	克隆巷
KERONG WALK	克隆径
KEW AVENUE	邱道
KEW CRESCENT	邱弯
KEW DRIVE	邱通道
KEW HEIGHTS	邱岭
KEW LANE	邱巷
KEW TERRACE	邱台
KEW WALK	邱径
Key Installation Protection Unit	重点防卫团
Key Installations National Servicemen Units	重点防卫国民服役团
Key-Points Defence	重点防卫
KHALSA CRESCENT	卡沙弯
Khatib Camp	卡迪军营
Khatib MRT Station	卡迪地铁站
Khaw Boon Wan	许文远
KHEAM HOCK ROAD	谦福路
Khek Community Lieu Clan Association	客属刘氏公会
Kheng Jai Wee Tee Soo	琼崖王氏祠
Kheng Zai Cheng Clan Association	新加坡海南（琼崖）郑氏公会
KHIANG GUAN AVENUE	乾元道
Khoh Clan Association	许氏总会
KIAN TECK AVENUE	建德道
KIAN TECK CRESCENT	建德弯
KIAN TECK DRIVE	建德通道
KIAN TECK LANE	建德巷
KIAN TECK ROAD	建德路
KIAN TECK WAY	建德大道
Kids Fest	儿童艺术节
Kids Lit Quiz	国际儿童文学问答比赛
KidsRead	儿童启蒙阅读计划
KidSTART	幼儿培育辅助计划
Killer Litter Cases	高楼抛物案
KILLINEY ROAD	基里尼路
Kilowatt-hour (kWh)	千瓦时
Kilowatt-peak	千瓦峰
KIM CHENG STREET	金钟街
KIM CHUAN AVENUE	金泉道
KIM CHUAN DRIVE	金泉通道
KIM CHUAN LANE	金泉巷
KIM CHUAN ROAD	金泉路
KIM CHUAN TERRACE	金泉台
KIM KEAT AVENUE	金吉道
KIM KEAT CLOSE	金吉弄
KIM KEAT FLYOVER	金吉立交桥
KIM KEAT LANE	金吉巷
KIM KEAT LINK	金吉连路
KIM KEAT ROAD	金吉路
Kim Mui Hoey Kuan	金门会馆
KIM PONG ROAD	金榜路
KIM SENG BRIDGE	金声桥
Kim Seng Community Centre	金声民众联络所
KIM SENG PROMENADE	金声宝龙坊
KIM SENG ROAD	金声路
KIM SENG WALK	金声径
KIM TIAN PLACE	金殿坊
KIM TIAN ROAD	金殿路
KIM YAM ROAD	金炎路
Kindergarten Fee Assistance Scheme (KiFAS)	幼稚园学费援助计划
KING ALBERT PARK	阿尔柏王园
King Albert Park MRT Station	阿尔柏王园地铁站
KING GEORGE'S AVENUE	乔治王道
KING'S AVENUE	京士道
KING'S CLOSE	京士弄
KING'S DRIVE	京士通道
KING'S ROAD	京士路
KING'S WALK	京士径
KINGSMEAD ROAD	京士密路
KINGSWEAR AVENUE	京士卫道
KINTA ROAD	近打路
KIRK TERRACE	客台
KISMIS AVENUE	吉士美道
KISMIS GREEN	吉士美埔
KISMIS PLACE	吉士美坊
KISMIS ROAD	吉士美路
"Kit-""Terrorism Prevention Information Kit"""	恐怖主义防范资料配套
KITCHENER LINK	吉真那连路
KITCHENER ROAD	吉真那路
Kityang Kwee Lim Low Clan Association	揭阳桂林刘氏公会
Kiung Jai Lee Clan Association	琼崖李氏公会
KLANG LANE	巴生巷
KLANG ROAD	巴生路
Knowledge and Inquiry	知识与探索
Knowledge, Attitude, Behaviour, Practices Survey	一项有关常识、态度、行为及作业方式的调查
KOEK ROAD	谷路
KOH SEK LIM ROAD	许锡林路
Kolam Ayer Community Club	哥南亚逸民众俱乐部
Kong Chow Wui Koon	冈州会馆
KOON SENG ROAD	坤成路
Korea-Singapore Free Trade Agreement (KSFTA)	韩国-新加坡自由贸易协定
KOVAN CLOSE	高文弄
Kovan MRT Station	高文地铁站
KOVAN RISE	高文坡
KOVAN ROAD	高文路
KPE TUNNEL	加冷巴耶利峇快速公路隧道
KRAMAT LANE	克拉末巷
KRAMAT ROAD	克拉末路
Kranji Camp	克兰芝军营
KRANJI CLOSE	克兰芝弄
KRANJI CRESCENT	克兰芝弯
KRANJI EXPRESSWAY	克兰芝快速公路
KRANJI LINK	克兰芝连路
KRANJI LOOP	克兰芝环路
Kranji MRT Station	克兰芝地铁站
KRANJI ROAD	克兰芝路
KRANJI WAY	克兰芝大道
Kreta Ayer Community Club	牛车水民众俱乐部
KRETA AYER ROAD	水车路
KUNG CHONG ROAD	工厂路
KUO CHUAN AVENUE	国专道
Kupang LRT Station	古邦轻轨列车站
KURAU GROVE	古鲁林
KURAU PLACE	古鲁坊
Kwek Hian Chuan	郭献川
KWONG AVENUE	邝道
Kwong Clan Association	邝氏公会（宣城堂）
KWONG MIN ROAD	光明路
Kwong Wai Siew Li Si Shu Shut	广惠肇李氏书室
Kwong Wai Siew Peck San Theng	广惠肇碧山亭
Kyoto Protocol	京都议定书
LA SALLE STREET	拉莎街
Labour Court	劳工法庭
Labrador Nature Reserve	拉柏多自然保护区
Labrador Park MRT Station	拉柏多公园地铁站
LABRADOR VIADUCT	拉柏多高架桥
LABRADOR VILLA ROAD	拉柏多维拉路
LADY HILL ROAD	淑女山路
LAGOS CIRCLE	拉哥士圈
LAGUNA FLYOVER	礁湖立交桥
LAGUNA GOLF GREEN	礁湖高球埔
LAKESHORE VIEW	湖滨景
Lakeside	湖畔
LAKESIDE DRIVE	湖畔通道
Lakeside Family Centre	湖畔家庭中心
Lakeside Family Centre (Jurong East)	湖畔家庭服务中心(裕廊东)
Lakeside Family Centre (Jurong West)	湖畔家庭服务中心(裕廊西)
Lakeside MRT Station	湖畔地铁站
LAKME STREET	乐美街
LAKME TERRACE	乐美台
Lam Ann Association	南安会馆
LAM SAN FLYOVER	南山立交桥
Lam Soon Tang Chong Huay	南舜同亲会
Lam Yong Poh Clan Association	南洋傅氏公会
LAMBETH WALK	蓝柏径
Lance Corporal (LCP)	下士
Land Acquisition Act	土地征用法令
Land Applications	土地应用程序
Land bank	土地库存
Land Boundary	土地界线
Land Intensification Allowance	土地集约化免税额
Land Lot	土地地段
Land premium	土地溢价
Land productivity	土地生产力
Land Revenue Collection Act	地税征收法令
Land Sale	土地出售
Land Sales & Administration Group (LSAG)	土地售卖与行政署
Land Survey	土地测量
Land Surveyors Act	土地测量师法令
Land Surveyors Board (LSB)	土地测量师局
Land Titles (Strata) Act	地契（分层）法令
Land Titles Act	地契法令
Land Transport Authority (LTA)	陆路交通管理局 (陆交局)
Land Transport Authority Enforcement Unit	陆路交通管理局执法组
Land Transport Excellence Awards	陆路交通卓越奖
Land Transport Masterplan	陆路交通发展总蓝图
Land Transport Review	陆路交通检讨
Landed and non-landed private property	有地和非有地私宅
Landscape Apprenticeship and Mentorship Programme	园景学徒培训计划
Landscape Company Register	园景公司登记
Landscape Design Guidelines for Productive Maintenance and Sustainability	高效率养护及可持续的园景设计指导准则
Landscape Excellence Assessment Framework	卓越景观评定框架
Landscape Productivity Grant	园景业生产力补贴
Landscape Productivity Roadmap	园景业生产力路线图
Landscaping for Urban Spaces and High-rises programme (LUSH)	打造翠绿都市和空中绿意计划
LANGE ROAD	兰芝路
LANGSAT ROAD	兰莎路
Language of Debates	辩论时的语言
LANTANA AVENUE	兰卡娜道
Lao PDR-Thailand-Malaysia-Singapore Power Integration Project (LTMS-PIP)	老挝-泰国-马来西亚-新加坡电力整合项目
Lapse, lapsing date	（权力）失效/失效的日期
Large Format Visual Arts	大型视觉艺术
LARKHILL ROAD	乐禧路
LASALLE College of the Arts	拉萨尔艺术学院
LASIA AVENUE	拉西亚道
Lasting Power of Attorney	持久授权书
Late payment fee	迟付款费
Late payment interest (LPI)	迟付款利息
Latin Asia Business Forum (LAB)	拉丁美洲-亚洲商业论坛
Lau Clan General Association	新加坡刘氏总会
Lau Kwan Cheong Chew Ku Seng Wui Kun	刘关张赵古城会馆
LAUREL WOOD AVENUE	月桂木大道
Lavender MRT Station	劳明达地铁站
LAVENDER STREET	劳明达街(俗称芒胶脚)
Law Enforcement Academy	执法学院
Law for Community Leaders Programme	社区领袖法律讲座
Lawrence Wong	黄循财
Layar LRT Station	拉雅轻轨列车站
Layered heart formation	心中有心造型表演
Layout Designs of Integrated Circuits	集成电路布图设计
Lead demand	政府主导型需求
LEAD Forum	LEAD论坛
Lead Teacher (LT)	主导教师
Leader of the House	国会领袖
Leader of the Opposition	反对党领袖
Leadership track	行政领导发展路线
Lean Enterprise Development (LED) Scheme	精益企业发展计划
Learning for Life Programme (LLP)	生活教育项目
Learning Journey	学习之旅
Learning Support Programme (LSP)	学习支援计划
Lease Buyback Scheme (LBS)	屋契回购计划
Lease extention	延长租赁契约
Lease renewal	更新租赁契约
Lease term	租赁期
Leasehold	租赁地契
Leasehold factor	租赁地契因素
Leasehold table	租赁地契表
Leave of Absence scheme	学额保留计划
Leave of the House	国会的准许
LED lights	LED彩灯
LED mesh screens	LED网状屏幕
LED screens	LED屏幕
Lee Foundation	李氏基金
Lee Hsien Loong	李显龙
Lee Hsien Loong Award for Innovations in the Normal Course	李显龙普通课程创新奖
Lee Kong Chian Natural History Museum	李光前自然历史博物馆
Lee Kuan Yew Centre for Innovative Cities	李光耀创新型城市中心
Lee Kuan Yew Fund for Bilingualism (LKYFB)	李光耀双语基金
Lee Kuan Yew National Education Award	李光耀国民教育奖
Lee Kuan Yew Water Prize	李光耀水源奖
Lee Kuan Yew World City Prize	李光耀世界城市奖
Lee Yi Shyan	李奕贤
LEEDON HEIGHTS	礼敦岭
LEEDON PARK	礼敦园
LEEDON ROAD	礼敦路
Legal Aid and Advice Act	法律援助及咨询法令
Legal Aid Bureau	法律援助局
Legal Aids	法律援助
Legal Profession Act	法律专业法令
Legislation	立法/法令
Legitimacy Act	子女合法地位法令
LEGO Bricks	乐高积木
LEGO Mini-figures	乐高迷你人物模型
LEICESTER ROAD	李斯特路
LEITH PARK	李斯园
LEITH ROAD	李斯路
LEMON AVENUE	柠檬道
LEMPENG DRIVE	仑邦通道
Leng Kee Community Club	麟记民众俱乐部
LENG KEE ROAD	麟记路
LENGKOK ANGSA	麟谷安沙
LENGKOK BAHRU	麟谷峇鲁
LENGKOK MARIAM	麟谷马莉安
LENGKOK MERAK	麟谷美叻
LENGKONG DUA	麟谷都亚
LENGKONG EMPAT	麟光安拔
LENGKONG ENAM	麟光安南
LENGKONG LIMA	麟光利马
LENGKONG SATU	麟光沙都
LENGKONG TIGA	麟光迪加
LENGKONG TUJOH	麟光都祝
LENTOR AVENUE	伦多道
LENTOR CENTRAL	伦多中路
LENTOR CRESCENT	伦多弯
LENTOR DRIVE	伦多通道
LENTOR FLYOVER	伦多立交桥
LENTOR GARDENS	伦多花园
LENTOR GREEN	伦多埔
LENTOR GROVE	伦多林
LENTOR HILLS ROAD	伦多山路
LENTOR LANE	伦多巷
LENTOR LINK	伦多连路
LENTOR LOOP	伦多环道
LENTOR PLACE	伦多坊
LENTOR PLAIN	伦多坪
LENTOR ROAD	伦多路
LENTOR STREET	伦多街
LENTOR TERRACE	伦多台
LENTOR VALE	伦多谷
LENTOR WALK	伦多径
LENTOR WAY	伦多大道
LEO DRIVE	利奥通道
Leon Perera	贝理安
Leong Khay Huay Kuan	龙溪会馆
Leong's Clan General Association, Singapore	星洲梁氏总会
LEONIE HILL	利安尼山
LEONIE HILL ROAD	利安尼山路
Leopard 2SG Main Battle Tank	豹2SG型主战坦克
Leopard Armoured Recovery Vehicle	豹型装甲救援车
Leopard Launcher Bridge	豹型架桥车
LERMIT ROAD	勒密路
Lesson study	课例研究
Let's Celebrate! Series	节庆系列
Let's Connect Platform	“让我们联系”平台
Let's Makan	大吃会
Let's Talk! Dialogue Session	“让我们讨论”对话会
Letter of Acceptance (LOA)	中标通知书
Letter of Authority	授权书
Letter of Award	授予书
Letter of Intent	意向书
Letter of Offer	献议书
Letter of Rejection	拒绝信
Letter of undertaking	保证书
Letters of Administration	遗产管理状
LEUCHARS ROAD	柳加士路
Levy Tiers	工税分层
LEW LIAN VALE	榴梿谷
LEWIN TERRACE	鲁英台
LEWIS ROAD	鲁易士路
LEYDEN HILL	莱敦山
LI HWAN CLOSE	丽苑弄
LI HWAN DRIVE	丽苑通道
LI HWAN PLACE	丽苑坊
LI HWAN TERRACE	丽苑台
LI HWAN VIEW	丽苑景
LI HWAN WALK	丽苑径
LI PO AVENUE	李白道
Liability insurers	责任保险机构
LIANE ROAD	丽燕路
Liang Eng Hwa	连荣华
LIANG SEAH STREET	连城街
Liberal Arts	通识教育
Liberal Arts College	通识大学
LIBRA DRIVE	李柏拉通道
Libraries of the Future	未来图书馆
library@chinatown (CNPL)	唐城图书馆
library@esplanade (EPPL)	滨海艺术中心图书馆
Licensed Cable Detection Worker	持牌电缆检测员
Licensed Electrical Worker	持牌电工
Licensed Gas Service Worker	持牌燃气服务员
Licensee	执照持有者
License-Photocard Driving Licence	执照-驾驶执照
Licensing Officers	执照官员
Licensor	发出执照者
LICHFIELD ROAD	李芝菲路
LICHI AVENUE	荔枝道
LIEN YING CHOW DRIVE	连瀛洲通道
Lieutenant (LTA)	中尉
Lieutenant Colonel (LTC)	中校
Lieutenant-General/Vice Admiral (LG / VADM)	中将/副海军上将
LIFE Basic Plan	终身入息基本计划
LIFE Bonus (L-Bonus)	公积金终身入息计划花红 (终身入息计划红利)
Life insurance	人寿保险
LIFE Standard Plan	终身入息标准计划
Lifestyle	生活服务产业群
Lift Upgrading Programme (LUP)	电梯翻新计划
Lifting of Title Restriction	解除地契限制
Light industrial estate	轻型工业区
Light Strike Vehicle	轻型攻击车
LIGHTHOUSE BEACH WALK	灯塔滨径
Lights @ Whampoa	黄埔环保灯饰
LILAC DRIVE	紫丁香通道
LILAC ROAD	紫丁香路
LILAC WALK	紫丁香径
LILY AVENUE	百合道
LIM AH PIN ROAD	林亚柄路
LIM AH WOO ROAD	林亚雨路
Lim Biow Chuan	林谋泉
Lim Chu Kang Camp	林厝港军营
LIM CHU KANG LANE 1	林厝港1巷
LIM CHU KANG LANE 1A	林厝港1A巷
LIM CHU KANG LANE 2	林厝港2巷
LIM CHU KANG LANE 3	林厝港3巷
LIM CHU KANG LANE 3A	林厝港3A巷
LIM CHU KANG LANE 4	林厝港4巷
LIM CHU KANG LANE 5	林厝港5巷
LIM CHU KANG LANE 5A	林厝港5A巷
LIM CHU KANG LANE 6	林厝港6巷
LIM CHU KANG LANE 6C	林厝港6C巷
LIM CHU KANG LANE 6D	林厝港6D巷
LIM CHU KANG LANE 6F	林厝港6F巷
LIM CHU KANG LANE 8	林厝港8巷
LIM CHU KANG LANE 8A	林厝港8A巷
LIM CHU KANG LANE 9	林厝港9巷
LIM CHU KANG LANE 9A	林厝港9A巷
LIM CHU KANG ROAD	林厝港路
LIM CHU KANG ROAD - TRACK 11	林厝港路11乡道
LIM CHU KANG TRACK 13	林厝港13乡道
Lim Hng Kiang	林勋强
LIM LIAK STREET	林烈街
Lim See Tai Chong Soo Kiu Leong Tong Family Self-Management Association	林氏大宗祠九龙堂家族自治会
Lim Swee Say	林瑞生
LIM TAI SEE WALK	林太师径
LIM TECK BOO ROAD	林特武路
LIM TECK KIM ROAD	林德金路
LIM TUA TOW ROAD	林大头路
LIMAU GARDEN	柠檬花园
LIMAU GROVE	柠檬林
LIMAU RISE	柠檬坡
LIMAU TERRACE	柠檬台
LIMAU WALK	柠檬径
LIMBOK TERRACE	林木台
Limitation Act	起诉期限法令
Limited Liability Partnership	有限责任合伙企业
Limited Partnerships	有限合伙企业
Limited tender	限制投标
LINCOLN ROAD	林肯路
LINDEN DRIVE	林登通道
LINK ROAD	林克路
Lion City interactive game	“狮城”网上互动游戏
Lipid Disorders	血脂异常
Liquor Licence	酒牌执照
Liquor Licensing Unit	酒类执照管制组
Liquors Licensing Board	酒类执照管理局
Literary Arts	文学艺术
Little India MRT Station	小印度地铁站
LITTLE ROAD	立德路
Littoral Mission Vessel	近海任务舰艇
Live Better Through Sports	透过体育活得更好
Liver diseases	肝脏疾病
Living Heritage	文化遗产 贴近你我
Living wage policy	基本工资水平的政策
LLOYD ROAD	来益路
Loan Insurance Scheme (LIS)	贷款保险计划
Loan Insurance Scheme Plus (LIS+)	升级档贷款保险计划
Local Contact Address	本地联络地址
Local Enterprise and Association Development (LEAD) programme	本地企业与协会发展计划
Local Enterprise and Association Development Plus (LEAD-Plus)	本地企业与协会发展计划（升级版）
Local Enterprise Finance Scheme (LEFS)	本地企业融资计划
Local Merit Scholarship	本地优异奖学金
Local-Overseas Merit Scholarship (L-OMS)	本地-海外优异奖学金
LOCK ROAD	洛克路
LOEWEN ROAD	罗文路
Logistics and Aerospace	物流与宇航业
Logistics Consolidation and Outsourcing Project	物流资源整合与外包计划
Logo-play	自拼标志
LOK YANG WAY	洛阳大道
LOKE YEW STREET	陆佑街
Loke's Association	陆氏宗祠
LOMPANG ROAD	隆邦路
Long service award	长期服务奖
Long Tee Kong Whee	龙氏公会
Long Term Visit Pass (LTVP)	长期探访证
Long Term Visit Pass Plus (LTVP)	长期探访附加证
Long-Term Athlete Development (LTAD)	长期运动员发展计划
Long-term care	长期护理
Long-term social investments	长期社会投资
LORNIE HIGHWAY	罗尼大道
LORNIE ROAD	罗尼路
LORNIE UNDERPASS	罗尼地下车道
LORNIE VIADUCT	罗尼高架桥
LORNIE WALK	罗尼径
LORONG 1 GEYLANG	芽笼1巷
LORONG 1 REALTY PARK	实业园1巷
LORONG 1 TOA PAYOH	大巴窑1巷
LORONG 10 GEYLANG	芽笼10巷
LORONG 101 CHANGI	罗弄101樟宜
LORONG 102 CHANGI	罗弄102樟宜
LORONG 104 CHANGI	罗弄104樟宜
LORONG 105 CHANGI	罗弄105樟宜
LORONG 106 CHANGI	罗弄106樟宜
LORONG 107 CHANGI	罗弄107樟宜
LORONG 108 CHANGI	罗弄108樟宜
LORONG 11 GEYLANG	芽笼11巷
LORONG 110 CHANGI	罗弄110樟宜
LORONG 12 GEYLANG	芽笼12巷
LORONG 13 GEYLANG	芽笼13巷
LORONG 14 GEYLANG	芽笼14巷
LORONG 15 GEYLANG	芽笼15巷
LORONG 16 GEYLANG	芽笼16巷
LORONG 17 GEYLANG	芽笼17巷
LORONG 18 GEYLANG	芽笼18巷
LORONG 19 GEYLANG	芽笼19巷
LORONG 1A TOA PAYOH	大巴窑1A巷
LORONG 2 REALTY PARK	实业园2巷
LORONG 2 TOA PAYOH	大巴窑2巷
LORONG 20 GEYLANG	芽笼20巷
LORONG 21 GEYLANG	芽笼21巷
LORONG 21A GEYLANG	芽笼21A巷
LORONG 22 GEYLANG	芽笼22巷
LORONG 23 GEYLANG	芽笼23巷
LORONG 24 GEYLANG	芽笼24巷
LORONG 24A GEYLANG	芽笼24A巷
LORONG 25 GEYLANG	芽笼25巷
LORONG 25A GEYLANG	芽笼25A巷
LORONG 26 GEYLANG	芽笼26巷
LORONG 27 GEYLANG	芽笼27巷
